code,code_type,description,concept_id,code_class
A00.0,ICD10CM,"Cholera due to Vibrio cholerae 01, biovar cholerae",35205396,id
I21.21,ICD10CM,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,45572080,mi
I22.0,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,35207686,mi
I22.9,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,35207689,mi
I22.1,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,35207687,mi
I21.A1,ICD10CM,Myocardial infarction type 2,1326590,mi
I21.02,ICD10CM,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,45572079,mi
I21.19,ICD10CM,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,45605779,mi
I21.29,ICD10CM,ST elevation (STEMI) myocardial infarction involving other sites,45557536,mi
I25.2,ICD10CM,Old myocardial infarction,35207702,mi
I21.4,ICD10CM,Non-ST elevation (NSTEMI) myocardial infarction,35207685,mi
I22.8,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of other sites,35207688,mi
I21.9,ICD10CM,"Acute myocardial infarction, unspecified",1326588,mi
I21.09,ICD10CM,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,45576865,mi
I22.2,ICD10CM,Subsequent non-ST elevation (NSTEMI) myocardial infarction,45605781,mi
I21.A9,ICD10CM,Other myocardial infarction type,1326591,mi
I21.01,ICD10CM,ST elevation (STEMI) myocardial infarction involving left main coronary artery,45562340,mi
I21.11,ICD10CM,ST elevation (STEMI) myocardial infarction involving right coronary artery,45533436,mi
I21.3,ICD10CM,ST elevation (STEMI) myocardial infarction of unspecified site,35207684,mi
P29.0,ICD10CM,Neonatal cardiac failure,35210517,chf
I11.0,ICD10CM,Hypertensive heart disease with heart failure,35207669,chf
I50.40,ICD10CM,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,45533457,chf
I50.43,ICD10CM,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,45567181,chf
I50.812,ICD10CM,Chronic right heart failure,1326603,chf
I42.0,ICD10CM,Dilated cardiomyopathy,35207755,chf
I50.811,ICD10CM,Acute right heart failure,1326602,chf
I50.23,ICD10CM,Acute on chronic systolic (congestive) heart failure,45567180,chf
I50.41,ICD10CM,Acute combined systolic (congestive) and diastolic (congestive) heart failure,45591469,chf
I50.810,ICD10CM,"Right heart failure, unspecified",1326601,chf
I42.8,ICD10CM,Other cardiomyopathies,35207763,chf
I42.9,ICD10CM,"Cardiomyopathy, unspecified",35207764,chf
I50.20,ICD10CM,Unspecified systolic (congestive) heart failure,45586587,chf
I50.30,ICD10CM,Unspecified diastolic (congestive) heart failure,45601038,chf
I42.7,ICD10CM,Cardiomyopathy due to drug and external agent,35207762,chf
I50.813,ICD10CM,Acute on chronic right heart failure,1326604,chf
I42.5,ICD10CM,Other restrictive cardiomyopathy,35207760,chf
I50.32,ICD10CM,Chronic diastolic (congestive) heart failure,45533456,chf
I42.6,ICD10CM,Alcoholic cardiomyopathy,35207761,chf
I50.84,ICD10CM,End stage heart failure,1326608,chf
I50.33,ICD10CM,Acute on chronic diastolic (congestive) heart failure,45562355,chf
I50.42,ICD10CM,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,45586588,chf
I50.814,ICD10CM,Right heart failure due to left heart failure,1326605,chf
I50.83,ICD10CM,High output heart failure,1326607,chf
I50.22,ICD10CM,Chronic systolic (congestive) heart failure,45576878,chf
I13.0,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",35207673,chf
I50.21,ICD10CM,Acute systolic (congestive) heart failure,45543182,chf
I50.89,ICD10CM,Other heart failure,1326609,chf
I50.9,ICD10CM,"Heart failure, unspecified",35207793,chf
I09.9,ICD10CM,"Rheumatic heart disease, unspecified",35207667,chf
I25.5,ICD10CM,Ischemic cardiomyopathy,35207704,chf
I50.82,ICD10CM,Biventricular heart failure,1326606,chf
I43,ICD10CM,Cardiomyopathy in diseases classified elsewhere,35207765,chf
I50.31,ICD10CM,Acute diastolic (congestive) heart failure,45548022,chf
I13.2,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",35207674,chf
I50.1,ICD10CM,"Left ventricular failure, unspecified",35207792,chf
I70.91,ICD10CM,Generalized atherosclerosis,45601080,pvd
I70.208,ICD10CM,"Unspecified atherosclerosis of native arteries of extremities, other extremity",45591494,pvd
I70.263,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",45552823,pvd
I70.308,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",45552827,pvd
I70.321,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",45576903,pvd
I70.342,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,45538423,pvd
I70.393,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",45601068,pvd
I70.398,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",45591499,pvd
I70.419,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45601069,pvd
I70.422,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, left leg",45562395,pvd
I70.428,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, other extremity",45576908,pvd
I70.435,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of foot,45576909,pvd
I70.45,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration,45572123,pvd
I70.463,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, bilateral legs",45601071,pvd
I70.468,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with gangrene, other extremity",45581803,pvd
I70.491,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",45605838,pvd
I70.499,ICD10CM,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",45605839,pvd
I70.503,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",45557579,pvd
I70.519,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45543211,pvd
I70.522,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, left leg",45601073,pvd
I70.528,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, other extremity",45552834,pvd
I70.542,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of calf,45548067,pvd
I70.544,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of heel and midfoot,45591502,pvd
I70.632,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of calf,45596242,pvd
I70.709,ICD10CM,"Unspecified atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",45605841,pvd
I70.718,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, other extremity",45538434,pvd
I70.721,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, right leg",45605842,pvd
I70.734,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the right leg with ulceration of heel and midfoot,45601078,pvd
I70.741,ICD10CM,Atherosclerosis of other type of bypass graft(s) of the left leg with ulceration of thigh,45548073,pvd
I70.769,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with gangrene, unspecified extremity",45543215,pvd
Z95.810,ICD10CM,Presence of automatic (implantable) cardiac defibrillator,45576217,pvd
I71.2,ICD10CM,"Thoracic aortic aneurysm, without rupture",35207845,pvd
I70.238,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,45548058,pvd
I70.248,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,45601065,pvd
K55.8,ICD10CM,Other vascular disorders of intestine,35208277,pvd
K55.1,ICD10CM,Chronic vascular disorders of intestine,35208276,pvd
I70.222,ICD10CM,"Atherosclerosis of native arteries of extremities with rest pain, left leg",45596233,pvd
I70.239,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,45596235,pvd
I70.245,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,45548060,pvd
I70.309,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",45562388,pvd
I70.318,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity",45591497,pvd
I70.323,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",45567211,pvd
I70.349,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,45562391,pvd
I70.362,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",45572119,pvd
I70.391,ICD10CM,"Other atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",45567213,pvd
I70.401,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, right leg",45576905,pvd
I70.408,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",45562394,pvd
I70.443,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle,45605836,pvd
I70.445,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of other part of foot,45596239,pvd
I70.513,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",45533488,pvd
I70.548,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of other part of lower leg,45572125,pvd
I70.549,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the left leg with ulceration of unspecified site,45562397,pvd
I70.562,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, left leg",45581805,pvd
I70.569,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with gangrene, unspecified extremity",45601076,pvd
I70.592,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",45533490,pvd
I70.593,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, bilateral legs",45596240,pvd
I70.598,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, other extremity",45557583,pvd
I70.602,ICD10CM,"Unspecified atherosclerosis of nonbiological bypass graft(s) of the extremities, left leg",45552836,pvd
I70.619,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45538429,pvd
I70.631,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of thigh,45538430,pvd
I70.634,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of heel and midfoot,45562399,pvd
I70.635,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of foot,45538431,pvd
I70.638,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the right leg with ulceration of other part of lower leg,45543213,pvd
I70.649,ICD10CM,Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of unspecified site,45591507,pvd
I70.662,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene, left leg",45543214,pvd
I70.711,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, right leg",45596244,pvd
I70.712,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, left leg",45538433,pvd
I70.713,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",45557588,pvd
I70.722,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, left leg",45586619,pvd
