code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
B20,ICD10CM,Human immunodeficiency virus [HIV] disease,35205776,aids,Human immunodeficiency virus [HIV] disease,Condition,B20,Condition,3-char billing code,ICD10CM,439727,Human immunodeficiency virus infection,Condition,86406008,Disorder,SNOMED
C00.0,ICD10CM,Malignant neoplasm of external upper lip,35206047,canc,Malignant neoplasm of external upper lip,Condition,C00.0,Condition,4-char billing code,ICD10CM,138074,Primary malignant neoplasm of vermilion border of upper lip,Condition,372027002,Disorder,SNOMED
C00.1,ICD10CM,Malignant neoplasm of external lower lip,35206048,canc,Malignant neoplasm of external lower lip,Condition,C00.1,Condition,4-char billing code,ICD10CM,132565,Primary malignant neoplasm of vermilion border of lower lip,Condition,372026006,Disorder,SNOMED
C00.2,ICD10CM,"Malignant neoplasm of external lip, unspecified",35206049,canc,"Malignant neoplasm of external lip, unspecified",Condition,C00.2,Condition,4-char billing code,ICD10CM,133969,Primary malignant neoplasm of vermilion border of lip,Condition,94135007,Disorder,SNOMED
C00.3,ICD10CM,"Malignant neoplasm of upper lip, inner aspect",35206050,canc,"Malignant neoplasm of upper lip, inner aspect",Condition,C00.3,Condition,4-char billing code,ICD10CM,138351,Primary malignant neoplasm of inner aspect of upper lip,Condition,93837005,Disorder,SNOMED
C00.4,ICD10CM,"Malignant neoplasm of lower lip, inner aspect",35206051,canc,"Malignant neoplasm of lower lip, inner aspect",Condition,C00.4,Condition,4-char billing code,ICD10CM,137219,Primary malignant neoplasm of inner aspect of lower lip,Condition,93836001,Disorder,SNOMED
C00.5,ICD10CM,"Malignant neoplasm of lip, unspecified, inner aspect",35206052,canc,"Malignant neoplasm of lip, unspecified, inner aspect",Condition,C00.5,Condition,4-char billing code,ICD10CM,132832,Primary malignant neoplasm of inner aspect of lip,Condition,93835002,Disorder,SNOMED
C00.6,ICD10CM,"Malignant neoplasm of commissure of lip, unspecified",35206053,canc,"Malignant neoplasm of commissure of lip, unspecified",Condition,C00.6,Condition,4-char billing code,ICD10CM,255192,Primary malignant neoplasm of commissure of lip,Condition,371981004,Disorder,SNOMED
C00.8,ICD10CM,Malignant neoplasm of overlapping sites of lip,35206054,canc,Malignant neoplasm of overlapping sites of lip,Condition,C00.8,Condition,4-char billing code,ICD10CM,133710,Overlapping malignant neoplasm of lip,Condition,109822001,Disorder,SNOMED
C00.9,ICD10CM,"Malignant neoplasm of lip, unspecified",35206055,canc,"Malignant neoplasm of lip, unspecified",Condition,C00.9,Condition,4-char billing code,ICD10CM,4155171,Primary malignant neoplasm of lip,Condition,371996000,Disorder,SNOMED
C01,ICD10CM,Malignant neoplasm of base of tongue,35206056,canc,Malignant neoplasm of base of tongue,Condition,C01,Condition,3-char billing code,ICD10CM,256633,Primary malignant neoplasm of base of tongue,Condition,93687001,Disorder,SNOMED
C02.0,ICD10CM,Malignant neoplasm of dorsal surface of tongue,35206057,canc,Malignant neoplasm of dorsal surface of tongue,Condition,C02.0,Condition,4-char billing code,ICD10CM,434587,Primary malignant neoplasm of dorsal surface of tongue,Condition,93773005,Disorder,SNOMED
C02.1,ICD10CM,Malignant neoplasm of border of tongue,35206058,canc,Malignant neoplasm of border of tongue,Condition,C02.1,Condition,4-char billing code,ICD10CM,4156114,Primary malignant neoplasm of border of tongue,Condition,371975007,Disorder,SNOMED
C02.2,ICD10CM,Malignant neoplasm of ventral surface of tongue,35206059,canc,Malignant neoplasm of ventral surface of tongue,Condition,C02.2,Condition,4-char billing code,ICD10CM,437220,Primary malignant neoplasm of ventral surface of tongue,Condition,94134006,Disorder,SNOMED
C02.3,ICD10CM,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",35206060,canc,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",Condition,C02.3,Condition,4-char billing code,ICD10CM,436042,Primary malignant neoplasm of anterior two-thirds of tongue,Condition,371968006,Disorder,SNOMED
