code,code_type,description,concept_id,code_class
P29.0,ICD10CM,Neonatal cardiac failure,35210517,chf
I11.0,ICD10CM,Hypertensive heart disease with heart failure,35207669,chf
I50.40,ICD10CM,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,45533457,chf
I50.43,ICD10CM,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,45567181,chf
I50.812,ICD10CM,Chronic right heart failure,1326603,chf
I42.0,ICD10CM,Dilated cardiomyopathy,35207755,chf
I50.811,ICD10CM,Acute right heart failure,1326602,chf
I50.23,ICD10CM,Acute on chronic systolic (congestive) heart failure,45567180,chf
I50.41,ICD10CM,Acute combined systolic (congestive) and diastolic (congestive) heart failure,45591469,chf
I50.810,ICD10CM,"Right heart failure, unspecified",1326601,chf
I42.8,ICD10CM,Other cardiomyopathies,35207763,chf
I42.9,ICD10CM,"Cardiomyopathy, unspecified",35207764,chf
I50.20,ICD10CM,Unspecified systolic (congestive) heart failure,45586587,chf
I50.30,ICD10CM,Unspecified diastolic (congestive) heart failure,45601038,chf
I42.7,ICD10CM,Cardiomyopathy due to drug and external agent,35207762,chf
I50.813,ICD10CM,Acute on chronic right heart failure,1326604,chf
I42.5,ICD10CM,Other restrictive cardiomyopathy,35207760,chf
I50.32,ICD10CM,Chronic diastolic (congestive) heart failure,45533456,chf
I42.6,ICD10CM,Alcoholic cardiomyopathy,35207761,chf
I50.84,ICD10CM,End stage heart failure,1326608,chf
I50.33,ICD10CM,Acute on chronic diastolic (congestive) heart failure,45562355,chf
I50.42,ICD10CM,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,45586588,chf
I50.814,ICD10CM,Right heart failure due to left heart failure,1326605,chf
I50.83,ICD10CM,High output heart failure,1326607,chf
I50.22,ICD10CM,Chronic systolic (congestive) heart failure,45576878,chf
I13.0,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",35207673,chf
I50.21,ICD10CM,Acute systolic (congestive) heart failure,45543182,chf
I50.89,ICD10CM,Other heart failure,1326609,chf
I50.9,ICD10CM,"Heart failure, unspecified",35207793,chf
I09.9,ICD10CM,"Rheumatic heart disease, unspecified",35207667,chf
I25.5,ICD10CM,Ischemic cardiomyopathy,35207704,chf
I50.82,ICD10CM,Biventricular heart failure,1326606,chf
I43,ICD10CM,Cardiomyopathy in diseases classified elsewhere,35207765,chf
I50.31,ICD10CM,Acute diastolic (congestive) heart failure,45548022,chf
I13.2,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",35207674,chf
I50.1,ICD10CM,"Left ventricular failure, unspecified",35207792,chf
I44.30,ICD10CM,Unspecified atrioventricular block,45596204,carit
I48.0,ICD10CM,Paroxysmal atrial fibrillation,35207784,carit
I49.49,ICD10CM,Other premature depolarization,45591468,carit
