code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
B20,ICD10CM,Human immunodeficiency virus [HIV] disease,35205776,aids,Human immunodeficiency virus [HIV] disease,Condition,B20,Condition,3-char billing code,ICD10CM,439727,Human immunodeficiency virus infection,Condition,86406008,Disorder,SNOMED
E52,ICD10CM,Niacin deficiency [pellagra],35206985,alcohol,Niacin deficiency [pellagra],Condition,E52,Condition,3-char billing code,ICD10CM,4303664,Niacin deficiency,Condition,418279001,Disorder,SNOMED
F10.10,ICD10CM,"Alcohol abuse, uncomplicated",45595845,alcohol,"Alcohol abuse, uncomplicated",Condition,F10.10,Condition,5-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.11,ICD10CM,"Alcohol abuse, in remission",1326497,alcohol,"Alcohol abuse, in remission",Condition,F10.11,Condition,5-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.11,ICD10CM,"Alcohol abuse, in remission",1326497,alcohol,"Alcohol abuse, in remission",Condition,F10.11,Condition,5-char billing code,ICD10CM,35622958,Disorder in remission,Condition,765205004,Disorder,SNOMED
F10.120,ICD10CM,"Alcohol abuse with intoxication, uncomplicated",45538005,alcohol,"Alcohol abuse with intoxication, uncomplicated",Condition,F10.120,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.120,ICD10CM,"Alcohol abuse with intoxication, uncomplicated",45538005,alcohol,"Alcohol abuse with intoxication, uncomplicated",Condition,F10.120,Condition,6-char billing code,ICD10CM,4104431,Alcohol intoxication,Condition,25702006,Disorder,SNOMED
F10.121,ICD10CM,Alcohol abuse with intoxication delirium,45576493,alcohol,Alcohol abuse with intoxication delirium,Condition,F10.121,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.121,ICD10CM,Alcohol abuse with intoxication delirium,45576493,alcohol,Alcohol abuse with intoxication delirium,Condition,F10.121,Condition,6-char billing code,ICD10CM,4088373,Alcohol intoxication delirium,Condition,18653004,Disorder,SNOMED
F10.129,ICD10CM,"Alcohol abuse with intoxication, unspecified",45557154,alcohol,"Alcohol abuse with intoxication, unspecified",Condition,F10.129,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.129,ICD10CM,"Alcohol abuse with intoxication, unspecified",45557154,alcohol,"Alcohol abuse with intoxication, unspecified",Condition,F10.129,Condition,6-char billing code,ICD10CM,4104431,Alcohol intoxication,Condition,25702006,Disorder,SNOMED
F10.130,ICD10CM,"Alcohol abuse with withdrawal, uncomplicated",725272,alcohol,"Alcohol abuse with withdrawal, uncomplicated",Condition,F10.130,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.130,ICD10CM,"Alcohol abuse with withdrawal, uncomplicated",725272,alcohol,"Alcohol abuse with withdrawal, uncomplicated",Condition,F10.130,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.131,ICD10CM,Alcohol abuse with withdrawal delirium,725273,alcohol,Alcohol abuse with withdrawal delirium,Condition,F10.131,Condition,6-char billing code,ICD10CM,377830,Alcohol withdrawal delirium,Condition,8635005,Disorder,SNOMED
F10.131,ICD10CM,Alcohol abuse with withdrawal delirium,725273,alcohol,Alcohol abuse with withdrawal delirium,Condition,F10.131,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.132,ICD10CM,Alcohol abuse with withdrawal with perceptual disturbance,725274,alcohol,Alcohol abuse with withdrawal with perceptual disturbance,Condition,F10.132,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.132,ICD10CM,Alcohol abuse with withdrawal with perceptual disturbance,725274,alcohol,Alcohol abuse with withdrawal with perceptual disturbance,Condition,F10.132,Condition,6-char billing code,ICD10CM,37165554,Perceptual disturbance due to alcohol withdrawal,Condition,1255066009,Disorder,SNOMED
F10.139,ICD10CM,"Alcohol abuse with withdrawal, unspecified",725275,alcohol,"Alcohol abuse with withdrawal, unspecified",Condition,F10.139,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.139,ICD10CM,"Alcohol abuse with withdrawal, unspecified",725275,alcohol,"Alcohol abuse with withdrawal, unspecified",Condition,F10.139,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.14,ICD10CM,Alcohol abuse with alcohol-induced mood disorder,45581404,alcohol,Alcohol abuse with alcohol-induced mood disorder,Condition,F10.14,Condition,5-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.14,ICD10CM,Alcohol abuse with alcohol-induced mood disorder,45581404,alcohol,Alcohol abuse with alcohol-induced mood disorder,Condition,F10.14,Condition,5-char billing code,ICD10CM,37164789,Mood disorder caused by ethanol,Condition,1234779007,Disorder,SNOMED
F10.150,ICD10CM,Alcohol abuse with alcohol-induced psychotic disorder with delusions,45600692,alcohol,Alcohol abuse with alcohol-induced psychotic disorder with delusions,Condition,F10.150,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.150,ICD10CM,Alcohol abuse with alcohol-induced psychotic disorder with delusions,45600692,alcohol,Alcohol abuse with alcohol-induced psychotic disorder with delusions,Condition,F10.150,Condition,6-char billing code,ICD10CM,442582,Alcohol-induced psychotic disorder with delusions,Condition,61144001,Disorder,SNOMED
F10.151,ICD10CM,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,45595846,alcohol,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,Condition,F10.151,Condition,6-char billing code,ICD10CM,372607,Alcohol hallucinosis,Condition,7052005,Disorder,SNOMED
F10.151,ICD10CM,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,45595846,alcohol,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,Condition,F10.151,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.159,ICD10CM,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",45571707,alcohol,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",Condition,F10.159,Condition,6-char billing code,ICD10CM,433753,Alcohol abuse,Condition,15167005,Disorder,SNOMED
F10.159,ICD10CM,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",45571707,alcohol,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified",Condition,F10.159,Condition,6-char billing code,ICD10CM,37164773,Psychosis caused by ethanol,Condition,1231846001,Disorder,SNOMED
