CUI,CODE,STR
C0178238,A00-A09,Intestinal infectious diseases (A00-A09)
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99)
C0041296,A15-A19,Tuberculosis (A15-A19)
C0348110,A20-A28,Certain zoonotic bacterial diseases (A20-A28)
C2939130,A30-A49,Other bacterial diseases (A30-A49)
C0036916,A50-A64,Infections with a predominantly sexual mode of transmission (A50-A64)
C0178244,A65-A69,Other spirochetal diseases (A65-A69)
C0348161,A70-A74,Other diseases caused by chlamydiae (A70-A74)
C0035585,A75-A79,Rickettsioses (A75-A79)
C2900446,A80-A89,Viral and prion infections of the central nervous system (A80-A89)
C0348175,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers (A90-A99)
C0348184,B00-B09,Viral infections characterized by skin and mucous membrane lesions (B00-B09)
C1955628,B10-B10,Other human herpesviruses (B10)
C0042721,B15-B19,Viral hepatitis (B15-B19)
C0019693,B20-B20,Human immunodeficiency virus [HIV] disease (B20)
C0348217,B25-B34,Other viral diseases (B25-B34)
C0026946,B35-B49,Mycoses (B35-B49)
C0033740,B50-B64,Protozoal diseases (B50-B64)
C0018889,B65-B83,Helminthiases (B65-B83)
C0348290,B85-B89,"Pediculosis, acariasis and other infestations (B85-B89)"
C0348296,B90-B94,Sequelae of infectious and parasitic diseases (B90-B94)
C2833793,B95-B97,Bacterial and viral infectious agents (B95-B97)
C0497442,B99-B99,Other infectious diseases (B99)
C0178247,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"
C4267833,C00-C75,"Malignant neoplasms, stated or presumed to be primary (of specified sites), and certain specified histologies, except neuroendocrine, and of lymphoid, hematopoietic and related tissue (C00-C75)"
C4267832,C00-C96,Malignant neoplasms (C00-C96)
C2977837,C00-D49,Neoplasms (C00-D49)
C0346617,C15-C26,Malignant neoplasms of digestive organs (C15-C26)
C0178249,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs (C30-C39)
C0153509,C40-C41,Malignant neoplasms of bone and articular cartilage (C40-C41)
C0348349,C43-C44,Melanoma and other malignant neoplasms of skin (C43-C44)
C0348352,C45-C49,Malignant neoplasms of mesothelial and soft tissue (C45-C49)
C0006142,C50-C50,Malignant neoplasms of breast (C50)
