CUI,CODE,STR,PREFIX_CODE
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A00
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A01
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A02
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A03
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A04
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A05
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A06
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A07
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A08
C0178238,A00-A09,Intestinal infectious diseases (A00-A09),A09
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A00
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A01
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A02
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A03
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A04
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A05
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A06
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A07
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A08
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A09
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A10
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A11
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A12
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A13
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A14
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A15
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A16
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A17
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A18
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A19
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A20
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A21
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A22
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A23
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A24
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A25
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A26
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A27
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A28
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A29
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A30
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A31
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A32
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A33
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A34
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A35
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A36
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A37
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A38
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A39
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A40
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A41
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A42
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A43
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A44
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A45
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A46
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A47
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A48
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A49
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A50
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A51
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A52
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A53
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A54
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A55
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A56
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A57
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A58
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A59
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A60
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A61
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A62
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A63
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A64
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A65
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A66
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A67
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A68
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A69
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A70
C0694449,A00-B99,Certain infectious and parasitic diseases (A00-B99),A71
