code,code_type,description,code_class
I21.01,ICD10CM,ST elevation (STEMI) myocardial infarction involving left main coronary artery,mi
I21.02,ICD10CM,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery,mi
I21.09,ICD10CM,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall,mi
I21.11,ICD10CM,ST elevation (STEMI) myocardial infarction involving right coronary artery,mi
I21.19,ICD10CM,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall,mi
I21.21,ICD10CM,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,mi
I21.29,ICD10CM,ST elevation (STEMI) myocardial infarction involving other sites,mi
I21.3,ICD10CM,ST elevation (STEMI) myocardial infarction of unspecified site,mi
I22.0,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,mi
I22.2,ICD10CM,Subsequent non-ST elevation (NSTEMI) myocardial infarction,mi
I22.8,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of other sites,mi
I22.9,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,mi
I21.A9,ICD10CM,Other myocardial infarction type,mi
I21.A1,ICD10CM,Myocardial infarction type 2,mi
I21.4,ICD10CM,Non-ST elevation (NSTEMI) myocardial infarction,mi
I21.9,ICD10CM,"Acute myocardial infarction, unspecified",mi
I25.2,ICD10CM,Old myocardial infarction,mi
I22.1,ICD10CM,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall,mi
I50.31,ICD10CM,Acute diastolic (congestive) heart failure,chf
I50.32,ICD10CM,Chronic diastolic (congestive) heart failure,chf
I50.33,ICD10CM,Acute on chronic diastolic (congestive) heart failure,chf
I50.23,ICD10CM,Acute on chronic systolic (congestive) heart failure,chf
I13.0,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",chf
I13.2,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",chf
I42.7,ICD10CM,Cardiomyopathy due to drug and external agent,chf
I50.40,ICD10CM,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.41,ICD10CM,Acute combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.42,ICD10CM,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.43,ICD10CM,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.21,ICD10CM,Acute systolic (congestive) heart failure,chf
I50.1,ICD10CM,"Left ventricular failure, unspecified",chf
I50.89,ICD10CM,Other heart failure,chf
I50.810,ICD10CM,"Right heart failure, unspecified",chf
I50.812,ICD10CM,Chronic right heart failure,chf
