"Code","Description","id"
"A000","Cholera due to Vibrio cholerae 01, biovar cholerae",1
"A001","Cholera due to Vibrio cholerae 01, biovar eltor",2
"A009","Cholera, unspecified",3
"A0100","Typhoid fever, unspecified",4
"A0101","Typhoid meningitis",5
"A0102","Typhoid fever with heart involvement",6
"A0103","Typhoid pneumonia",7
"A0104","Typhoid arthritis",8
"A0105","Typhoid osteomyelitis",9
"A0109","Typhoid fever with other complications",10
"A011","Paratyphoid fever A",11
"A012","Paratyphoid fever B",12
"A013","Paratyphoid fever C",13
"A014","Paratyphoid fever, unspecified",14
"A020","Salmonella enteritis",15
"A021","Salmonella sepsis",16
"A0220","Localized salmonella infection, unspecified",17
"A0221","Salmonella meningitis",18
"A0222","Salmonella pneumonia",19
"A0223","Salmonella arthritis",20
"A0224","Salmonella osteomyelitis",21
"A0225","Salmonella pyelonephritis",22
"A0229","Salmonella with other localized infection",23
"A028","Other specified salmonella infections",24
"A029","Salmonella infection, unspecified",25
"A030","Shigellosis due to Shigella dysenteriae",26
"A031","Shigellosis due to Shigella flexneri",27
"A032","Shigellosis due to Shigella boydii",28
"A033","Shigellosis due to Shigella sonnei",29
"A038","Other shigellosis",30
"A039","Shigellosis, unspecified",31
"A040","Enteropathogenic Escherichia coli infection",32
"A041","Enterotoxigenic Escherichia coli infection",33
"A042","Enteroinvasive Escherichia coli infection",34
"A043","Enterohemorrhagic Escherichia coli infection",35
"A044","Other intestinal Escherichia coli infections",36
"A045","Campylobacter enteritis",37
"A046","Enteritis due to Yersinia enterocolitica",38
"A0471","Enterocolitis due to Clostridium difficile, recurrent",39
"A0472","Enterocolitis due to Clostridium difficile, not specified as recurrent",40
"A048","Other specified bacterial intestinal infections",41
"A049","Bacterial intestinal infection, unspecified",42
"A050","Foodborne staphylococcal intoxication",43
"A051","Botulism food poisoning",44
"A052","Foodborne Clostridium perfringens [Clostridium welchii] intoxication",45
"A053","Foodborne Vibrio parahaemolyticus intoxication",46
"A054","Foodborne Bacillus cereus intoxication",47
"A055","Foodborne Vibrio vulnificus intoxication",48
"A058","Other specified bacterial foodborne intoxications",49
"A059","Bacterial foodborne intoxication, unspecified",50
"A060","Acute amebic dysentery",51
"A061","Chronic intestinal amebiasis",52
"A062","Amebic nondysenteric colitis",53
"A063","Ameboma of intestine",54
"A064","Amebic liver abscess",55
"A065","Amebic lung abscess",56
"A066","Amebic brain abscess",57
"A067","Cutaneous amebiasis",58
"A0681","Amebic cystitis",59
"A0682","Other amebic genitourinary infections",60
"A0689","Other amebic infections",61
"A069","Amebiasis, unspecified",62
"A070","Balantidiasis",63
"A071","Giardiasis [lambliasis]",64
"A072","Cryptosporidiosis",65
"A073","Isosporiasis",66
"A074","Cyclosporiasis",67
"A078","Other specified protozoal intestinal diseases",68
"A079","Protozoal intestinal disease, unspecified",69
"A080","Rotaviral enteritis",70
"A0811","Acute gastroenteropathy due to Norwalk agent",71
"A0819","Acute gastroenteropathy due to other small round viruses",72
"A082","Adenoviral enteritis",73
"A0831","Calicivirus enteritis",74
"A0832","Astrovirus enteritis",75
"A0839","Other viral enteritis",76
"A084","Viral intestinal infection, unspecified",77
"A088","Other specified intestinal infections",78
"A09","Infectious gastroenteritis and colitis, unspecified",79
"A150","Tuberculosis of lung",80
"A154","Tuberculosis of intrathoracic lymph nodes",81
"A155","Tuberculosis of larynx, trachea and bronchus",82
"A156","Tuberculous pleurisy",83
"A157","Primary respiratory tuberculosis",84
"A158","Other respiratory tuberculosis",85
"A159","Respiratory tuberculosis unspecified",86
"A170","Tuberculous meningitis",87
"A171","Meningeal tuberculoma",88
"A1781","Tuberculoma of brain and spinal cord",89
"A1782","Tuberculous meningoencephalitis",90
"A1783","Tuberculous neuritis",91
"A1789","Other tuberculosis of nervous system",92
"A179","Tuberculosis of nervous system, unspecified",93
"A1801","Tuberculosis of spine",94
"A1802","Tuberculous arthritis of other joints",95
"A1803","Tuberculosis of other bones",96
"A1809","Other musculoskeletal tuberculosis",97
