code,code_type,description,code_class
I50.31,ICD10CM,Acute diastolic (congestive) heart failure,chf
I50.32,ICD10CM,Chronic diastolic (congestive) heart failure,chf
I50.33,ICD10CM,Acute on chronic diastolic (congestive) heart failure,chf
I50.23,ICD10CM,Acute on chronic systolic (congestive) heart failure,chf
I13.0,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",chf
I13.2,ICD10CM,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",chf
I42.7,ICD10CM,Cardiomyopathy due to drug and external agent,chf
I50.40,ICD10CM,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.41,ICD10CM,Acute combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.42,ICD10CM,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.43,ICD10CM,Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,chf
I50.21,ICD10CM,Acute systolic (congestive) heart failure,chf
I50.1,ICD10CM,"Left ventricular failure, unspecified",chf
I50.89,ICD10CM,Other heart failure,chf
I50.810,ICD10CM,"Right heart failure, unspecified",chf
I50.812,ICD10CM,Chronic right heart failure,chf
I50.813,ICD10CM,Acute on chronic right heart failure,chf
I50.814,ICD10CM,Right heart failure due to left heart failure,chf
I42.5,ICD10CM,Other restrictive cardiomyopathy,chf
I42.8,ICD10CM,Other cardiomyopathies,chf
I25.5,ICD10CM,Ischemic cardiomyopathy,chf
P29.0,ICD10CM,Neonatal cardiac failure,chf
I50.82,ICD10CM,Biventricular heart failure,chf
I43,ICD10CM,Cardiomyopathy in diseases classified elsewhere,chf
I50.84,ICD10CM,End stage heart failure,chf
I42.6,ICD10CM,Alcoholic cardiomyopathy,chf
I42.0,ICD10CM,Dilated cardiomyopathy,chf
I50.9,ICD10CM,"Heart failure, unspecified",chf
I09.9,ICD10CM,"Rheumatic heart disease, unspecified",chf
I50.83,ICD10CM,High output heart failure,chf
I50.811,ICD10CM,Acute right heart failure,chf
I42.9,ICD10CM,"Cardiomyopathy, unspecified",chf
I50.20,ICD10CM,Unspecified systolic (congestive) heart failure,chf
I50.22,ICD10CM,Chronic systolic (congestive) heart failure,chf
I50.30,ICD10CM,Unspecified diastolic (congestive) heart failure,chf
I11.0,ICD10CM,Hypertensive heart disease with heart failure,chf
Z95.0,ICD10CM,Presence of cardiac pacemaker,carit
I48.21,ICD10CM,Permanent atrial fibrillation,carit
I44.39,ICD10CM,Other atrioventricular block,carit
I49.40,ICD10CM,Unspecified premature depolarization,carit
I49.49,ICD10CM,Other premature depolarization,carit
T82.110A,ICD10CM,"Breakdown (mechanical) of cardiac electrode, initial encounter",carit
T82.110D,ICD10CM,"Breakdown (mechanical) of cardiac electrode, subsequent encounter",carit
T82.110S,ICD10CM,"Breakdown (mechanical) of cardiac electrode, sequela",carit
T82.111A,ICD10CM,"Breakdown (mechanical) of cardiac pulse generator (battery), initial encounter",carit
T82.111D,ICD10CM,"Breakdown (mechanical) of cardiac pulse generator (battery), subsequent encounter",carit
T82.111S,ICD10CM,"Breakdown (mechanical) of cardiac pulse generator (battery), sequela",carit
T82.118A,ICD10CM,"Breakdown (mechanical) of other cardiac electronic device, initial encounter",carit
T82.118D,ICD10CM,"Breakdown (mechanical) of other cardiac electronic device, subsequent encounter",carit
T82.118S,ICD10CM,"Breakdown (mechanical) of other cardiac electronic device, sequela",carit
T82.119A,ICD10CM,"Breakdown (mechanical) of unspecified cardiac electronic device, initial encounter",carit
T82.119D,ICD10CM,"Breakdown (mechanical) of unspecified cardiac electronic device, subsequent encounter",carit
