CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C0000814,ENG,P,L0000814,PF,S0218595,N,A17815492,,,O02.1,ICD10CM,PT,O02.1,Missed abortion,4,N,256.0,,['Disease or Syndrome'],O021,O02.1,35209522
C0001145,ENG,P,L0001145,VC,S0798036,N,A17839636,,,L73.0,ICD10CM,PT,L73.0,Acne keloid,4,N,256.0,,['Disease or Syndrome'],L730,L73.0,35208638
C0001171,ENG,P,L0001171,PF,S0218783,N,A17866282,,,M95.4,ICD10CM,PT,M95.4,Acquired deformity of chest and rib,4,N,,,['Acquired Abnormality'],M954,M95.4,35209145
C0001540,ENG,P,L0001540,PF,S0000200,N,A17838303,,,F43.24,ICD10CM,PT,F43.24,Adjustment disorder with disturbance of conduct,4,N,256.0,,['Mental or Behavioral Dysfunction'],F4324,F43.24,45600747
C0002019,ENG,P,L0002019,PF,S0864547,N,A17777759,,,R48.0,ICD10CM,PT,R48.0,Dyslexia and alexia,4,N,,,['Mental or Behavioral Dysfunction'],R480,R48.0,35211378
C0002438,ENG,P,L0002438,PF,S0012920,N,A17850106,,,A06,ICD10CM,HT,A06,Amebiasis,4,N,256.0,,['Disease or Syndrome'],A06,A06,1567245
C0002438,ENG,S,L0500983,PF,S0588288,N,A17798903,,,A06.9,ICD10CM,PT,A06.9,"Amebiasis, unspecified",4,N,256.0,,['Disease or Syndrome'],A069,A06.9,35205438
C0002441,ENG,S,L0002441,PF,S0479415,N,A17837356,,,A06.7,ICD10CM,PT,A06.7,Cutaneous amebiasis,4,N,256.0,,['Disease or Syndrome'],A067,A06.7,35205437
C0002831,ENG,P,L0002831,PF,S0013691,N,A17837567,,,B76.0,ICD10CM,PT,B76.0,Ancylostomiasis,4,N,256.0,,['Disease or Syndrome'],B760,B76.0,35205966
C0002881,ENG,S,L0696639,VO,S0660654,N,A17863337,,,D58.9,ICD10CM,PT,D58.9,"Hereditary hemolytic anemia, unspecified",4,N,256.0,,['Disease or Syndrome'],D589,D58.9,35206730
C0002902,ENG,P,L0002902,PF,S0013816,N,A17790247,,,Q00.0,ICD10CM,PT,Q00.0,Anencephaly,4,N,256.0,,['Congenital Abnormality'],Q000,Q00.0,35210690
C0002962,ENG,P,L0002962,VC,S0355458,N,A17826307,,,I20,ICD10CM,HT,I20,Angina pectoris,4,N,256.0,,['Sign or Symptom'],I20,I20,1569125
